code,name,unit,stock,deal,free,pur_deal,pur_free,cost,value,mrp,pur_rate,rate,company,manufact,rackno
"28081","ACE-PROXYVON CR TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"22250","ACE-PROXYVON GEL  30 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"29740","ACE-PROXYVON SP  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"17544","ACE-PROXYVON TAB  10 TAB","PCS",-1.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"30928","ACE PROXYVON TH 4  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"30692","ACE PROXYVON TH 8  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WOCKHARDT LTD.","",""
"71","ACEPTIK LIQ.  75 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"16386","ACERA 20 CAP  10 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"19407","ACERA-D TAB  10TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"19097","ACERA-FAST 20 MG  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"28792","ACERA IT CAP  10C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"31844","ACERA L","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
"23367","ACE REVELOL 25/2.5 TAB  7 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"IPCA LTD","",""
